SNP,freq_alt,MAF,n_missing,pct_missing
X.9,0.999438,0.000562,18,1.98
X1,0.826304,0.173696,6,0.66
X.9.1,0.54321,0.45679,16,1.76
X.9.2,0.621298,0.378702,29,3.2
X.9.3,0.643757,0.356243,34,3.75
X2,0.991704,0.008296,3,0.33
X2.1,0.751942,0.248058,6,0.66
X2.2,0.999449,0.000551,0,0.0
X2.3,0.982759,0.017241,8,0.88
X.9.4,0.57854,0.42146,3,0.33
X2.4,0.999432,0.000568,26,2.87
X2.5,0.915831,0.084169,10,1.1
X2.6,0.910398,0.089602,3,0.33
X.9.5,0.964206,0.035794,13,1.43
X2.7,0.726058,0.273942,9,0.99
X.9.6,0.998895,0.001105,2,0.22
X.9.7,0.908186,0.091814,3,0.33
X2.8,0.988372,0.011628,4,0.44
X.9.8,0.976217,0.023783,3,0.33
X2.9,0.777586,0.222414,37,4.08
X2.10,0.997795,0.002205,0,0.0
X.9.9,0.999425,0.000575,38,4.19
X.9.10,0.732004,0.267996,4,0.44
X.9.11,0.791071,0.208929,67,7.39
X.9.12,0.861333,0.138667,157,17.31
X.9.13,0.853267,0.146733,4,0.44
X.9.14,0.698956,0.301044,45,4.96
X.9.15,0.998341,0.001659,3,0.33
X.9.16,0.795222,0.204778,28,3.09
X.9.17,0.998883,0.001117,12,1.32
X2.11,0.936313,0.063687,12,1.32
X2.12,0.911406,0.088594,4,0.44
X2.13,0.892412,0.107588,24,2.65
X.9.18,0.703851,0.296149,24,2.65
X.9.19,0.66183,0.33817,11,1.21
X.9.20,0.540655,0.459345,83,9.15
X.9.21,0.999432,0.000568,26,2.87
X.9.22,0.875,0.125,19,2.09
X2.14,0.991105,0.008895,120,13.23
X.9.23,0.914905,0.085095,8,0.88
X1.1,0.924833,0.075167,9,0.99
X2.15,0.580446,0.419554,99,10.92
X.9.24,0.844769,0.155231,18,1.98
X2.16,0.798098,0.201902,13,1.43
X2.17,0.675439,0.324561,109,12.02
X.9.25,0.901084,0.098916,169,18.63
X1.2,0.533889,0.466111,7,0.77
X.9.26,0.753374,0.246626,92,10.14
X.9.27,0.957027,0.042973,46,5.07
X.9.28,0.918671,0.081329,34,3.75
X2.18,0.998895,0.001105,2,0.22
X.9.29,0.772367,0.227633,24,2.65
X2.19,0.836678,0.163322,10,1.1
X1.3,0.652174,0.347826,194,21.39
X.9.30,0.701269,0.298731,40,4.41
X.9.31,0.851336,0.148664,9,0.99
X.9.32,0.588988,0.411012,8,0.88
X.9.33,0.962901,0.037099,4,0.44
X.9.34,0.748299,0.251701,25,2.76
X.9.35,0.930286,0.069714,32,3.53
X.9.36,0.941989,0.058011,2,0.22
X.9.37,0.978865,0.021135,8,0.88
X2.20,0.838889,0.161111,7,0.77
X.9.38,0.527162,0.472838,5,0.55
X.9.39,0.898649,0.101351,19,2.09
X.9.40,0.988864,0.011136,9,0.99
X.9.41,0.939616,0.060384,21,2.32
X.9.42,0.92905,0.07095,12,1.32
X1.4,0.552013,0.447987,13,1.43
X.9.43,0.817629,0.182371,249,27.45
X2.21,0.98895,0.01105,2,0.22
X.9.44,0.705215,0.294785,25,2.76
X.9.45,0.973363,0.026637,6,0.66
X.9.46,0.951111,0.048889,7,0.77
X2.22,0.90346,0.09654,11,1.21
X2.23,0.95172,0.04828,6,0.66
X.9.47,0.873396,0.126604,50,5.51
X.9.48,0.532438,0.467562,13,1.43
X.9.49,0.981646,0.018354,8,0.88
X2.24,0.735658,0.264342,18,1.98
X2.25,0.987887,0.012113,164,18.08
X.9.50,0.985604,0.014396,4,0.44
X1.5,0.662611,0.337389,3,0.33
X.9.51,0.854296,0.145704,104,11.47
X.9.52,0.543423,0.456577,124,13.67
X.9.53,0.543689,0.456311,83,9.15
X0,0.710322,0.289678,6,0.66
X2.26,0.961836,0.038164,3,0.33
X.9.54,0.963883,0.036117,21,2.32
X.9.55,0.982497,0.017503,50,5.51
X.9.56,0.999448,0.000552,2,0.22
