SNP,freq_alt,MAF
2,0.5543,0.4457
3,0.446251,0.446251
4,0.636439,0.363561
5,0.553749,0.446251
6,0.132304,0.132304
7,0.553749,0.446251
8,0.141676,0.141676
9,0.695149,0.304851
10,0.553197,0.446803
11,0.446527,0.446527
12,0.437431,0.437431
13,0.140849,0.140849
14,0.306781,0.306781
15,0.693771,0.306229
16,0.141676,0.141676
17,0.437707,0.437707
18,0.595094,0.404906
19,0.131202,0.131202
20,0.131477,0.131477
21,0.736218,0.263782
22,0.595094,0.404906
23,0.604465,0.395535
24,0.604741,0.395259
25,0.604741,0.395259
26,0.604465,0.395535
27,0.605017,0.394983
28,0.604465,0.395535
29,0.131753,0.131753
30,0.729052,0.270948
31,0.270948,0.270948
32,0.392503,0.392503
33,0.607222,0.392778
34,0.338479,0.338479
35,0.339305,0.339305
36,0.420066,0.420066
37,0.410419,0.410419
38,0.410143,0.410143
39,0.41097,0.41097
40,0.420066,0.420066
41,0.420342,0.420342
42,0.411246,0.411246
43,0.410695,0.410695
44,0.386439,0.386439
45,0.112183,0.112183
46,0.11301,0.11301
47,0.112183,0.112183
48,0.887541,0.112459
49,0.887817,0.112183
50,0.887817,0.112183
51,0.129824,0.129824
52,0.887541,0.112459
53,0.112183,0.112183
54,0.869625,0.130375
55,0.112734,0.112734
56,0.886714,0.113286
57,0.88699,0.11301
58,0.167861,0.167861
59,0.18495,0.18495
60,0.800717,0.199283
61,0.802095,0.197905
62,0.17613,0.17613
63,0.783627,0.216373
64,0.642503,0.357497
65,0.642503,0.357497
66,0.641951,0.358049
67,0.625689,0.374311
68,0.787762,0.212238
69,0.628997,0.371003
70,0.175579,0.175579
71,0.249724,0.249724
72,0.074146,0.074146
73,0.159316,0.159316
74,0.258545,0.258545
75,0.258545,0.258545
76,0.581312,0.418688
77,0.740353,0.259647
78,0.740077,0.259923
79,0.740353,0.259647
80,0.581588,0.418412
81,0.581588,0.418412
82,0.740077,0.259923
83,0.740077,0.259923
84,0.739802,0.260198
85,0.739802,0.260198
86,0.839305,0.160695
87,0.83903,0.16097
88,0.83903,0.16097
89,0.83903,0.16097
90,0.839305,0.160695
91,0.832139,0.167861
92,0.502205,0.497795
93,0.5,0.5
94,0.60419,0.39581
95,0.605017,0.394983
96,0.785281,0.214719
97,0.785281,0.214719
98,0.610254,0.389746
99,0.611632,0.388368
100,0.496141,0.496141
101,0.335447,0.335447
102,0.322216,0.322216
103,0.496417,0.496417
104,0.33462,0.33462
105,0.334895,0.334895
106,0.495865,0.495865
107,0.174476,0.174476
108,0.320562,0.320562
109,0.494763,0.494763
110,0.174476,0.174476
111,0.551268,0.448732
112,0.574697,0.425303
113,0.424201,0.424201
114,0.510474,0.489526
115,0.575524,0.424476
116,0.934675,0.065325
117,0.618798,0.381202
118,0.740077,0.259923
119,0.738699,0.261301
120,0.459482,0.459482
121,0.459757,0.459757
122,0.190187,0.190187
123,0.459482,0.459482
124,0.459482,0.459482
125,0.214994,0.214994
126,0.72161,0.27839
127,0.72161,0.27839
128,0.268467,0.268467
129,0.053473,0.053473
130,0.721058,0.278942
131,0.21527,0.21527
132,0.72161,0.27839
133,0.668137,0.331863
134,0.671996,0.328004
135,0.67172,0.32828
136,0.32828,0.32828
137,0.328004,0.328004
138,0.32828,0.32828
139,0.220232,0.220232
140,0.328831,0.328831
141,0.671444,0.328556
142,0.451213,0.451213
143,0.328004,0.328004
144,0.671996,0.328004
145,0.220507,0.220507
146,0.451488,0.451488
147,0.22161,0.22161
148,0.093716,0.093716
149,0.094267,0.094267
150,0.185226,0.185226
151,0.628997,0.371003
152,0.668688,0.331312
153,0.343164,0.343164
154,0.278666,0.278666
155,0.321665,0.321665
156,0.253583,0.253583
157,0.645259,0.354741
158,0.646086,0.353914
159,0.34785,0.34785
160,0.745865,0.254135
161,0.359702,0.359702
162,0.148842,0.148842
163,0.26323,0.26323
164,0.210309,0.210309
165,0.81505,0.18495
166,0.81505,0.18495
167,0.393054,0.393054
168,0.815325,0.184675
169,0.163451,0.163451
170,0.697078,0.302922
171,0.82828,0.17172
172,0.731257,0.268743
173,0.762404,0.237596
